english,spanish_sentence,POS,CEFR,family_size,frequency,english_example
business impact,El impacto del negocio justifica inversión,NOUN,B2,3,2306,Business impact justifies investment
business value,El valor de negocio justifica costos,NOUN,B2,3,4365,Business value justifies costs
benefit,Los beneficios del proyecto superan costos,NOUN,B1,3,4316,Project benefits exceed costs
build,Construir el entregable requiere recursos,VERB,B1,3,4400,Build deliverable requires resources
best practice,Las mejores prácticas mejoran eficiencia,NOUN,B2,2,3179,Best practices improve efficiency
bulletin,El boletín informa cambios del proyecto,NOUN,B2,1,1425,Bulletin informs project changes
business value,El valor de negocio justifica costos,NOUN,B2,3,4305,Business value justifies costs
business requirement,El requisito de negocio cambió alcance,NOUN,B2,6,2929,Business requirement changed scope
business value,El valor de negocio justifica costos,NOUN,B2,2,4351,Business value justifies costs
backlog,El backlog del sprint está priorizado,NOUN,B2,2,2384,Sprint backlog prioritized
buffer,El buffer de tiempo salvó el cronograma,NOUN,B2,2,2066,Time buffer saved schedule
breakdown,La descomposición de tareas se completó,NOUN,B2,4,3498,Work breakdown completed
buffer,El buffer de tiempo salvó el cronograma,NOUN,B2,3,2212,Time buffer saved schedule
business justification,La justificación del negocio es sólida,NOUN,C1,4,1027,Business justification is solid
balanced scorecard,El balanced scorecard mide KPIs,NOUN,C1,3,1273,Balanced scorecard tracks KPIs
business impact,El impacto del negocio justifica inversión,NOUN,B2,4,2456,Business impact justifies investment
breakdown,La descomposición de tareas se completó,NOUN,B2,2,3520,Work breakdown completed
bottleneck,El cuello de botella retrasó el entregable,NOUN,B2,3,2819,Bottleneck delayed deliverable
bid,La oferta fue presentada a tiempo,NOUN,B2,3,2071,Bid submitted on time
baseline,La línea base del proyecto fue aprobada,NOUN,B2,3,3021,Project baseline approved
business continuity,La continuidad del negocio es prioridad,NOUN,C1,3,1661,Business continuity is priority
buffer,El buffer de tiempo salvó el cronograma,NOUN,B2,2,2303,Time buffer saved schedule
brainstorm,Lluvia de ideas identificó riesgos,VERB,B2,2,2172,Brainstorm identified risks
business value,El valor de negocio justifica costos,NOUN,B2,3,4507,Business value justifies costs
bottom-up,La estimación bottom-up es detallada,ADJ,C1,3,1011,Bottom-up estimation detailed
blocker,El bloqueador impide el progreso,NOUN,B2,3,1760,Blocker preventing progress
business justification,La justificación del negocio es sólida,NOUN,C1,3,945,Business justification is solid
burn-down chart,El gráfico burn-down muestra progreso,NOUN,C1,3,1100,Burn-down chart shows progress
breakdown,La descomposición de tareas se completó,NOUN,B2,2,3622,Work breakdown completed
bid,La oferta fue presentada a tiempo,NOUN,B2,2,1957,Bid submitted on time
benefit,Los beneficios del proyecto superan costos,NOUN,B1,3,4519,Project benefits exceed costs
bulletin,El boletín informa cambios del proyecto,NOUN,B2,1,1347,Bulletin informs project changes
brainstorm,Lluvia de ideas identificó riesgos,VERB,B2,2,2196,Brainstorm identified risks
business requirement,El requisito de negocio cambió el alcance,NOUN,B2,4,3926,Business requirement changed scope
business process,El proceso de negocio se optimizó,NOUN,B2,4,3606,Business process optimized
business justification,La justificación del negocio es sólida,NOUN,C1,4,977,Business justification is solid
business need,La necesidad del negocio impulsa el proyecto,NOUN,B2,4,4017,Business need drives project
briefing,El briefing del proyecto fue claro,NOUN,B2,2,2941,Project briefing was clear
brainstorming,La sesión de lluvia de ideas generó soluciones,NOUN,B2,3,1780,Brainstorming generated solutions
bid,La oferta fue presentada a tiempo,NOUN,B2,3,2035,Bid submitted on time
breakdown,La descomposición de tareas se completó,NOUN,B2,3,3645,Work breakdown completed
bottleneck,El cuello de botella retrasó el entregable,NOUN,B2,2,2750,Bottleneck delayed deliverable
best practice,Las mejores prácticas mejoran eficiencia,NOUN,B2,4,3146,Best practices improve efficiency
business requirement,El requisito de negocio cambió el alcance,NOUN,B2,6,4066,Business requirement changed scope
balanced scorecard,El balanced scorecard mide KPIs,NOUN,C1,2,1414,Balanced scorecard tracks KPIs
business requirement,El requisito de negocio cambió alcance,NOUN,B2,6,2810,Business requirement changed scope
bid,La oferta fue presentada a tiempo,NOUN,B2,4,2088,Bid submitted on time
business objective,El objetivo de negocio mide éxito,NOUN,B2,5,2209,Business objective measures success
business value,El valor de negocio justifica costos,NOUN,B2,4,4460,Business value justifies costs
balanced scorecard,El balanced scorecard mide KPIs,NOUN,C1,2,1407,Balanced scorecard tracks KPIs
burn rate,La tasa de quema de fondos es crítica,NOUN,C1,3,1862,Burn rate becoming critical
breakdown,La descomposición de tareas se completó,NOUN,B2,3,3417,Work breakdown completed
business continuity,La continuidad del negocio es prioridad,NOUN,C1,4,1716,Business continuity is priority
bottleneck,El cuello de botella retrasó el entregable,NOUN,B2,3,2897,Bottleneck delayed deliverable
breakdown,La descomposición de tareas se completó,NOUN,B2,4,3418,Work breakdown completed
bottom-up,La estimación bottom-up es detallada,ADJ,C1,2,959,Bottom-up estimation detailed
briefing,El briefing del proyecto fue claro,NOUN,B2,2,2931,Project briefing was clear
bulletin,El boletín informa cambios del proyecto,NOUN,B2,1,1282,Bulletin informs project changes
benefit,Los beneficios del proyecto superan costos,NOUN,B1,4,4375,Project benefits exceed costs
business analysis,El análisis de negocio define requisitos,NOUN,B2,4,2966,Business analysis defines requirements
business analysis,El análisis de negocio define requisitos,NOUN,B2,5,2953,Business analysis defines requirements
best practice,Las mejores prácticas mejoran eficiencia,NOUN,B2,3,3049,Best practices improve efficiency
breakdown,La descomposición de tareas se completó,NOUN,B2,2,3467,Work breakdown completed
business impact,El impacto del negocio justifica inversión,NOUN,B2,3,2378,Business impact justifies investment
business need,La necesidad del negocio impulsa el proyecto,NOUN,B2,4,3937,Business need drives project
bottleneck,El cuello de botella retrasó el entregable,NOUN,B2,3,2931,Bottleneck delayed deliverable
build,Construir el entregable requiere recursos,VERB,B1,4,4356,Build deliverable requires resources
burn-down chart,El gráfico burn-down muestra progreso,NOUN,C1,4,1077,Burn-down chart shows progress
budget,El presupuesto del proyecto se excedió,NOUN,B1,4,4703,Project budget exceeded
business process,El proceso de negocio se optimizó,NOUN,B2,3,3424,Business process optimized
balanced scorecard,El balanced scorecard mide KPIs,NOUN,C1,3,1360,Balanced scorecard tracks KPIs
business analysis,El análisis de negocio define requisitos,NOUN,B2,4,3036,Business analysis defines requirements
brainstorming,La sesión de lluvia de ideas generó soluciones,NOUN,B2,2,1743,Brainstorming generated solutions
big picture,La visión general guía decisiones,NOUN,B2,4,2483,Big picture guides decisions
baseline,La línea base del proyecto fue aprobada,NOUN,B2,3,3058,Project baseline approved
business requirement,El requisito de negocio cambió el alcance,NOUN,B2,4,3972,Business requirement changed scope
business case,El caso de negocio justificó la inversión,NOUN,B2,5,3012,Business case justified investment
baseline,La línea base del proyecto fue aprobada,NOUN,B2,3,2834,Project baseline approved
business requirement,El requisito de negocio cambió el alcance,NOUN,B2,5,4024,Business requirement changed scope
business case,El caso de negocio justificó la inversión,NOUN,B2,4,2964,Business case justified investment
bulletin,El boletín informa cambios del proyecto,NOUN,B2,2,1389,Bulletin informs project changes
brainstorm,Lluvia de ideas identificó riesgos,VERB,B2,1,2281,Brainstorm identified risks
